exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,N,ORIG,OMP
schedule-test,2,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,6521841,21956971
schedule-test,3,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,7087670,21424624
schedule-test,4,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,6634139,21531187
schedule-test,5,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,6173874,19503274
schedule-test,6,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,6874275,21536467
schedule-test,7,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,6141223,19891808
schedule-test,8,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,6047313,19572955
schedule-test,9,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,6096424,19448019
schedule-test,10,vectoradd,1048576,STATIC,16,1,OMP,1,1048576,7799261,21737858
schedule-test,1,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,6587894,19822963
schedule-test,2,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,7864051,21969210
schedule-test,3,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,6227553,19552208
schedule-test,4,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,6144721,20033105
schedule-test,5,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,7246105,20179668
schedule-test,6,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,6798075,21898756
schedule-test,7,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,6246668,21700762
schedule-test,8,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,6858333,21948836
schedule-test,9,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,6442809,21786394
schedule-test,10,vectoradd,1048576,STATIC,32,1,OMP,1,1048576,7321290,21718201
schedule-test,1,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,6529988,21920715
schedule-test,2,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,7447707,21649266
schedule-test,3,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,6238913,22015976
schedule-test,4,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,7201250,21636318
schedule-test,5,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,5967486,19712235
schedule-test,6,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,7564561,19589949
schedule-test,7,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,8063401,18859661
schedule-test,8,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,6174383,19407019
schedule-test,9,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,7129039,21615858
schedule-test,10,vectoradd,1048576,STATIC,64,1,OMP,1,1048576,6682600,21381354
schedule-test,1,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,6810627,23079130
schedule-test,2,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,6654640,19560512
schedule-test,3,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,6984763,19547384
schedule-test,4,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,6890523,19635893
schedule-test,5,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,6969179,21721542
schedule-test,6,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,6249818,21958775
schedule-test,7,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,7060598,19293483
schedule-test,8,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,6393007,19097468
schedule-test,9,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,6053565,19060163
schedule-test,10,vectoradd,1048576,STATIC,128,1,OMP,1,1048576,6996893,22804016
schedule-test,1,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,6029165,23539659
schedule-test,2,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,6966929,21785229
schedule-test,3,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,7547192,22148417
schedule-test,4,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,6784828,21678419
schedule-test,5,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,6193526,19953596
schedule-test,6,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,7450771,19462508
schedule-test,7,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,6201175,19050186
schedule-test,8,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,6726773,21596234
schedule-test,9,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,6819429,19337596
schedule-test,10,vectoradd,1048576,STATIC,256,1,OMP,1,1048576,7252978,19384403
schedule-test,1,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6950315,7522384
schedule-test,2,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6968237,7568253
schedule-test,3,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,7304883,7462870
schedule-test,4,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6459974,8269301
schedule-test,5,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6121286,6005661
schedule-test,6,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6906653,5342051
schedule-test,7,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6362616,5926754
schedule-test,8,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6909949,5588741
schedule-test,9,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6767649,7405855
schedule-test,10,vectoradd,1048576,DYNAMIC,16,1,OMP,1,1048576,6649199,6883515
schedule-test,1,vectoradd,1048576,DYNAMIC,32,1,OMP,1,1048576,6767558,7995932
schedule-test,2,vectoradd,1048576,DYNAMIC,32,1,OMP,1,1048576,6932189,5523727
schedule-test,3,vectoradd,1048576,DYNAMIC,32,1,OMP,1,1048576,6411218,6512966
schedule-test,4,vectoradd,1048576,DYNAMIC,32,1,OMP,1,1048576,7246372,7227799
schedule-test,5,vectoradd,1048576,DYNAMIC,32,1,OMP,1,1048576,7374443,7779890
schedule-test,6,vectoradd,1048576,DYNAMIC,32,1,OMP,1,1048576,6591197,7345166
schedule-test,7,vectoradd,1048576,DYNAMIC,32,1,OMP,1,1048576,7653495,6750952
schedule-test,8,vectoradd,1048576,DYNAMIC,32,1,OMP,1,1048576,6529127,6912488
schedule-test,9,vectoradd,1048576,DYNAMIC,32,1,OMP,1,1048576,7030322,6826703
schedule-test,10,vectoradd,1048576,DYNAMIC,32,1,OMP,1,1048576,7544839,7213305
schedule-test,1,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,6552620,6313663
schedule-test,2,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,6125126,5016047
schedule-test,3,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,7516170,6525539
schedule-test,4,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,6875325,6273562
schedule-test,5,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,7632434,7065880
schedule-test,6,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,7961471,8049300
schedule-test,7,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,6945897,6147280
schedule-test,8,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,6136577,5617514
schedule-test,9,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,6028726,6078575
schedule-test,10,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,6526292,7687612
schedule-test,1,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,7208209,4839294
schedule-test,2,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,6295662,4435926
schedule-test,3,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,6498260,4811043
schedule-test,4,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,6894412,5715308
schedule-test,5,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,6341508,5376266
schedule-test,6,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,6403375,5928129
schedule-test,7,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,6794099,5416506
schedule-test,8,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,6446451,5725744
schedule-test,9,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,6964336,6770304
schedule-test,10,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,6772322,6870247
schedule-test,1,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,6429498,5418911
schedule-test,2,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,6901541,4532997
schedule-test,3,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,7776355,5944889
schedule-test,4,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,6559018,7371847
schedule-test,5,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,6785164,4438992
schedule-test,6,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,7079416,6570502
schedule-test,7,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,7144089,5808040
schedule-test,8,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,6891241,5018214
schedule-test,9,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,6716780,5520976
schedule-test,10,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,7113168,6523207
schedule-test,1,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,6872614,5505805
schedule-test,2,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,6294706,4977796
schedule-test,3,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,7254320,6450701
schedule-test,4,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,7213338,4995595
schedule-test,5,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,6463302,5414810
schedule-test,6,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,6691163,5360010
schedule-test,7,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,6639699,4122741
schedule-test,8,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,6948658,5830316
schedule-test,9,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,7554950,6118252
schedule-test,10,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,6359485,6763102
schedule-test,1,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,6975706,5673350
schedule-test,2,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,6492991,6986877
schedule-test,3,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,6704354,5247940
schedule-test,4,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,7415968,5702895
schedule-test,5,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,8041115,6956136
schedule-test,6,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,6863801,5783369
schedule-test,7,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,6582903,5172586
schedule-test,8,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,6966233,4391753
schedule-test,9,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,6694332,6130948
schedule-test,10,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,7044639,6280056
schedule-test,1,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,6336913,5692626
schedule-test,2,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,6567813,5068984
schedule-test,3,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,6233639,5128119
schedule-test,4,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,7074877,5502368
schedule-test,5,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,7516370,6505247
schedule-test,6,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,6490203,5006504
schedule-test,7,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,6540558,5333452
schedule-test,8,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,6827188,5245353
schedule-test,9,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,6723199,7823322
schedule-test,10,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,6635056,5804859
